Pop	Sample sizes	Sum of SFS	FST
AG1-AG2	[30 16]	1445.49	0.14
AG1-AG2_masked	[30 16]	831.39	0.15
AG1-AG2	[30 16]	1445.49	0.14
AG1-AG2	[30 16]	1445.49	0.14
AG1-AG2_masked	[30 16]	831.39	0.15
AG1-AG2	[20 20]	1238.96	0.14
AG1-AG2_masked	[20 20]	703.86	0.15
AG1-AG2	[20 20]	1218.0	0.14
AG1-AG2_masked	[20 20]	694.0	0.16
AG1-AG2	[20 20]	1238.96	0.14
AG1-AG2_masked	[20 20]	703.86	0.15
ahya	[1018]	544.0	nan
Tas-Med	[212 182]	4048.0	0.07
Tas-Med	[100  90]	31146.54	0.11
Tas-Med	[150 100]	31603.37	0.11
Tas-Med	[150 140]	31986.92	0.11
Tas-Med	[180 160]	30561.35	0.11
Tas-Med	[160 140]	32030.38	0.11
