Directory	Run	LogLikelihood	ModelParameters	ModelValues	Theta
output_proj_het_group3-group4_process2_02-7-25	Run 6	-4650.68	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(4.93302, 24.75208, 1.40661, 19.0121, 24.19655, 6.53017, 4.57056, 0.02891, 5.30177, 47.97282, 9.98753, 3.46861, 0.57016, 0.18923)	7486.959952148098
output_proj_het_group3-group4_process2_02-7-25	Run 2	-5587.55	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(11.48236, 9.42482, 2.99022, 11.90681, 138.90051, 0.1017, 0.03403, 0.45211, 23.02283, 27.03621, 2.57766, 0.16201, 0.00e+00, 0.22407)	3990.4276101962832
output_proj_het_group3-group4_process2_02-7-25	Run 3	-8154.84	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(200.0, 0.03234, 0.14175, 0.82679, 0.42527, 10.0, 6.57707, 1.75983, 9.33039, 18.06027, 2.78549, 0.86031, 0.00e+00, 0.20467)	11090.121096829289
output_proj_het_group3-group4_process2_02-7-25	Run 1	-8171.85	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(200.0, 0.06546, 0.24935, 0.99995, 0.69119, 6.21791, 4.22892, 2.06019, 11.15395, 21.37593, 2.37994, 0.75883, 0.00e+00, 0.20796)	9362.825241015962
output_proj_het_group3-group4_process2_02-7-25	Run 5	-8218.56	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(200.0, 0.11942, 0.55465, 1.42031, 1.0, 6.42859, 3.19757, 2.59628, 13.37102, 27.86117, 2.05297, 0.54813, 0.00e+00, 0.21015)	7434.028439092414
output_proj_het_group1-group3_process7_02-7-25	Run 5	-6444.62	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(0.60483, 200.0, 1.1955, 13.44134, 12.55337, 0.001, 1.11402, 0.03537, 18.17287, 200.0, 7.63107, 2.57006, 0.20927, 0.43527)	9202.772235696488
output_proj_het_group1-group3_process7_02-7-25	Run 1	-7887.84	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(0.01, 200.0, 0.58346, 1.38467, 200.0, 0.44862, 1.49603, 0.7573, 11.78431, 13.12447, 6.54586, 3.4217, 0.00292, 0.52817)	10276.76458343782
output_proj_het_group1-group3_process7_02-7-25	Run 3	-8008.26	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(0.01, 200.0, 0.67907, 1.0, 200.0, 0.41411, 1.3189, 0.95648, 13.1254, 16.3091, 3.36879, 1.31899, 0.0003, 0.48367)	8809.343520165748
output_proj_het_group1-group3_process7_02-7-25	Run 4	-8887.54	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(1.0, 200.0, 1.3924, 0.26841, 200.0, 0.65141, 1.91871, 1.15949, 12.4671, 16.68729, 1.53363, 0.93686, 0.00e+00, 0.38322)	8796.194327762567
output_proj_het_group1-group3_process7_02-7-25	Run 7	-9062.98	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(1.21896, 4.83345, 0.39481, 0.1381, 200.0, 0.00e+00, 6.03464, 0.49282, 5.80346, 6.83952, 2.32837, 2.1349, 0.00024, 0.32834)	20997.51932101137
output_proj_het_group1-group3_process6_02-7-25	Run 4	-6394.15	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(2.02626, 15.87441, 1.53061, 22.68833, 33.28161, 8.10352, 6.61461, 0.02118, 7.31068, 4.14476, 8.9161, 10.0, 0.70746, 0.39208)	5839.073038921417
output_proj_het_group1-group3_process6_02-7-25	Run 3	-9524.00	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(0.01, 1.02106, 0.82819, 1.00047, 91.27032, 0.33349, 1.53168, 1.43841, 19.8129, 20.0643, 1.40051, 10.0, 8e-05, 0.46368)	8269.383955360208
output_proj_het_group1-group3_process6_02-7-25	Run 2	-9798.30	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(0.5301, 200.0, 0.73996, 0.0194, 200.0, 7.78053, 3.18988, 0.99905, 10.65739, 10.20356, 0.36473, 1.54106, 0.00e+00, 0.18336)	12527.300163671849
output_proj_het_group4-Amil_process8_02-7-25	Run 2	-7533.09	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(0.71282, 200.0, 1.23076, 14.32376, 4.41219, 0.01517, 0.06941, 0.29957, 16.40915, 6.77789, 0.37942, 3.10803, 6.61e-18, 0.4801)	17468.59818991909
output_proj_het_group4-Amil_process8_02-7-25	Run 1	-8411.27	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(0.73788, 200.0, 1.09197, 14.82993, 4.41578, 0.01319, 0.001, 0.29481, 14.0178, 5.56953, 0.38117, 3.05124, 8e-05, 0.43673)	18613.554558625754
output_proj_het_group4-Amil_process8_02-7-25	Run 8	-12614.64	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(0.1311, 200.0, 0.38841, 0.94143, 8.11756, 0.14405, 0.68436, 0.6464, 8.61906, 2.994, 0.33809, 2.35275, 0.00139, 0.37956)	32333.15604543459
output_proj_het_group1-group2_process5_02-7-25	Run 6	-6433.37	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(0.67845, 90.62693, 1.22498, 17.11031, 12.73183, 0.001, 1.1342, 0.0203, 6.87627, 200.0, 10.0, 9.33663, 0.29978, 0.41649)	8384.7138839549
output_proj_het_group1-group2_process5_02-7-25	Run 2	-7011.66	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(0.12139, 200.0, 0.66054, 2.03641, 200.0, 0.32246, 1.23147, 0.79629, 14.66404, 15.03977, 10.0, 5.00236, 0.01161, 0.57825)	8621.508013372277
output_proj_het_group1-group2_process5_02-7-25	Run 3	-7084.94	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(0.08277, 200.0, 0.85165, 2.13622, 62.85419, 0.27556, 0.94454, 1.0227, 18.13436, 19.15024, 7.84693, 3.89188, 0.001, 0.57241)	7044.886376726913
output_proj_het_group1-group2_process5_02-7-25	Run 4	-7432.29	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(0.01, 200.0, 0.77626, 1.001, 97.70672, 0.41377, 1.14992, 1.14775, 16.65597, 19.50232, 5.05086, 2.21491, 0.00e+00, 0.54126)	7229.8071743642395
output_proj_het_group1-group2_process2_02-7-25	Run 3	-7218.40	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(1.25869, 22.4211, 1.48008, 21.67703, 24.89662, 0.4667, 0.45335, 0.00455, 200.0, 21.38458, 8.68289, 10.0, 0.39046, 0.00699)	5832.263769706684
output_proj_het_group1-group2_process2_02-7-25	Run 2	-8180.75	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(1.00292, 200.0, 0.8533, 33.02436, 10.95426, 8.23758, 10.0, 0.00479, 0.46251, 15.70039, 8.77953, 10.0, 0.51456, 0.00626)	9058.680971770515
output_proj_het_group1-group2_process2_02-7-25	Run 4	-9682.01	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(1.2276, 200.0, 0.87564, 1.53759, 36.35102, 0.00e+00, 1.05433, 1.70557, 19.74368, 34.29359, 3.57187, 0.00e+00, 0.05829, 0.51847)	5372.315035145146
